question,response
"yassine fait des sites web","Oui ! Yassine crée des sites web modernes, responsive et animés. Frontend HTML/CSS/JS + backend Python Flask."
"développement web yassine","Yassine développe des sites web complets : design moderne, responsive, animations CSS, backend Flask, bases de données SQLite."
"réseaux sociaux yassine","Retrouvez Yassine sur GitHub (github.com/yasine2006) et LinkedIn (linkedin.com/in/hafidi-yassine-5623a7352)."
"github yassine","Le GitHub de Yassine : github.com/yasine2006"
"linkedin yassine","Yassine est sur LinkedIn : linkedin.com/in/hafidi-yassine-5623a7352"
"formation yassine","Yassine a obtenu son Baccalauréat Sciences Physiques en 2024, puis a intégré l'ESTK Khenifra en 2025 en filière IDIA. Il est actuellement en 2ème année."
"diplôme yassine","Yassine a son Baccalauréat (2024) et est actuellement en 2ème année IDIA à l'ESTK Khenifra (depuis 2025)."
"estk yassine","Yassine étudie à l'École Supérieure de Technologie de Khenifra (ESTK), filière IDIA — Ingénierie des Données et Intelligence Artificielle. Il est en 2ème année."
"idia yassine","IDIA = Ingénierie des Données et Intelligence Artificielle. C'est la filière de Yassine à l'ESTK Khenifra. Il y apprend le ML, Deep Learning, data science et développement web."
"bac yassine","Yassine a obtenu son Baccalauréat Sciences Physiques en 2024 au Maroc."
"yassine est étudiant","Oui ! Yassine est étudiant en 2ème année IDIA à l'ESTK Khenifra (entré 2025). En parallèle, il développe des projets concrets et propose des services freelance."
"yassine a de l'expérience","Oui ! Yassine a effectué un stage de développement web à la Délégation de Santé de Khenifra en 2025, et a réalisé 6 projets concrets en web et IA."
"expérience yassine","Yassine a effectué un stage à la Délégation de Santé de Khenifra (développement web, 2025), et a réalisé 6 projets en web et intelligence artificielle."
"stage yassine","Yassine a effectué un stage d'un mois à la Délégation de Santé de Khenifra en 2025, où il a développé des outils web internes. C'est sa première expérience professionnelle."
"delegation sante yassine","Yassine a réalisé son stage à la Délégation de Santé de Khenifra en 2025 : développement d'outils web et application des compétences acquises à l'ESTK."
"intérêts de yassine","En dehors de la programmation, Yassine s'intéresse au football, à la lecture tech, et à l'IA et l'innovation."
"hobbies de yassine","Yassine aime le football, la lecture, et se tenir informé des dernières avancées en IA et technologie."
"yassine aime quoi","Yassine est passionné par la programmation, l'IA, le football, et la lecture tech."
"collaboration yassine","Yassine est ouvert aux collaborations. Contactez-le : hafidiyassine83@gmail.com"
"travailler avec yassine","Pour travailler avec Yassine : hafidiyassine83@gmail.com ou WhatsApp +212 613 612 618. Il est ouvert aux projets freelance et collaborations."
"yassine accepte des projets","Oui, Yassine accepte des projets freelance et des collaborations. Contactez-le !"
"yassine est où","Yassine est basé à Khenifra, Maroc. Il peut travailler à distance avec des clients du monde entier."
"yassine maroc","Yassine est basé à Khenifra, Maroc. Il travaille avec des clients locaux et internationaux en remote."
"où habite yassine","Yassine est basé à Khenifra, Maroc, et peut travailler en remote."
"merci","Avec plaisir ! N'hésitez pas si vous avez d'autres questions sur Yassine ou ses services."
"merci beaucoup","De rien ! C'est un plaisir. Revenez si vous avez d'autres questions !"
"super","Merci ! 😊 Y a-t-il autre chose que je peux faire pour vous ?"
"ok","D'accord ! Si vous avez d'autres questions sur Yassine, je suis là !"
"au revoir","Au revoir ! N'hésitez pas à revenir si vous avez des questions. Bonne journée !"
"bye","Bye! Feel free to come back if you have more questions about Yassine. Have a great day!"
"à bientôt","À bientôt ! Bonne journée !"
"je suis intéressé","Super ! Contactez Yassine : hafidiyassine83@gmail.com ou WhatsApp : +212 613 612 618"
"j'ai un projet","Excellent ! Yassine sera ravi d'entendre votre projet. Contactez-le : hafidiyassine83@gmail.com ou +212 613 612 618"
"j'ai besoin d'un développeur","Yassine est disponible ! Contactez-le : hafidiyassine83@gmail.com ou WhatsApp : +212 613 612 618"
"je cherche un développeur web","Yassine est disponible pour des missions de développement web : hafidiyassine83@gmail.com"
"je cherche un développeur python","Yassine est disponible en freelance Python : hafidiyassine83@gmail.com"
"i need a developer","Yassine is available for freelance projects! Contact him: hafidiyassine83@gmail.com or WhatsApp: +212 613 612 618"
"data science yassine","Yassine travaille en data science : analyse de données avec pandas, Machine Learning avec scikit-learn, et création de modèles prédictifs."
"nlp yassine","Yassine maîtrise le NLP : TF-IDF et similarité cosinus. Ce chatbot en est la preuve !"
"base de données yassine","Yassine travaille avec SQL et NoSQL : SQLite pour les projets Flask, et maîtrise les requêtes SQL."
"sql yassine","Yassine maîtrise SQL pour la gestion de bases de données, notamment SQLite dans ses projets Flask."
"git github yassine","Yassine utilise Git et GitHub : github.com/yasine2006"
"c++ yassine","Yassine programme en C/C++ dans le cadre de sa formation IDIA à l'ESTK."
"qu'est-ce que tu peux faire pour moi","Je peux vous informer sur Yassine : compétences, projets, formation, expérience et contact. Que souhaitez-vous savoir ?"
"aide moi","Bien sûr ! Posez-moi votre question sur Yassine Hafidi et ses services !"
"help","Sure! Ask me anything about Yassine Hafidi — skills, projects, education, experience or contact."
"je ne comprends pas","Pouvez-vous reformuler ? Je ferai de mon mieux pour vous répondre sur Yassine."
"comment ça marche ce chatbot","Ce chatbot utilise TF-IDF + similarité cosinus (Machine Learning) pour comprendre vos questions. Développé par Yassine lui-même !"
"c'est impressionnant","Merci ! Yassine a tout construit de A à Z. Contactez-le pour un projet similaire : hafidiyassine83@gmail.com"
"portfolio moderne","Ce portfolio a été conçu avec un design dark-theme moderne, animations CSS, chatbot IA et panneau d'administration — par Yassine."
"c'est beau ce portfolio","Merci ! Yassine a tout développé : design, frontend, backend Flask, chatbot IA et admin. Contactez-le si vous voulez quelque chose de similaire !"
"khdma yassine","Yassine dar stage f Délégation de Santé de Khenifra (développement web, 2025), o 3ndeh 6 projets f web o IA."
"wach yassine 3ndeh tajriba","Aywa ! Yassine dar stage f Délégation de Santé de Khenifra 2025, o 3mla 6 projets f web o intelligence artificielle."
